url,email,sdas
placeholder,301,Moved Permanently
1001-vacation-ideas.com,301,Moved Permanently
10best.com,301,Moved Permanently
24hourcampfire.com,200,OK
37millionminutes.com,301,Moved Permanently
4trips.de,301,Moved Permanently
7wonders.org,301,Moved Permanently
97pattaya.com,200,OK
a2zlasvegas.com,301,Moved Permanently
aarp.org,301,Moved Permanently
abatravel.com.au,301,Moved Permanently
about.com,301,Moved Permanently
accuweather.com,301,Moved Permanently
adventureswiththewynnspod.com,301,Moved Permanently
aero.de,301,Moved Permanently
africam.com,301,Moved Permanently
airconadvisor.net,301,Moved Permanently
airline-direct.de,301,Moved Permanently
airlineroute.net,200,OK
airliners.de,301,Moved Permanently
airport-advisor.net,301,Moved Permanently
airtravelinfo.kr,302,Moved Temporarily
ajc.com,301,Moved Permanently
albacete.es,200,OK
albanykid.com,200,OK
albaria.com,301,Moved Permanently
allleftturns.com,301,Moved Permanently
americanprofile.com,200,OK
anneahira.com,200,OK
aol.com,301,Moved Permanently
apple.com,301,MOVED PERMANENTLY
architectguide.net,301,Moved Permanently
articledigg.com,200,OK
arttraveler.tv,301,Moved Permanently
arttravelers.tv,301,Moved Permanently
asiannewsfeed.com,200,OK
aspen.com,200,OK
asternews.com,200,OK
aufeminin.com,301,Moved Permanently
australiahop.com,200,OK
avclub.com,301,Moved Permanently
avidcruiser.com,301,Moved Permanently
away.com,301,MOVED PERMANENTLY
awayinfrance.com,404,Not Found
awesome-outdoors.com,301,Moved Permanently
awesomeabroad.com,302,Found
awesomemom.tv,301,Moved Permanently
awesomeoverseas.com,301,Moved Permanently
awsm.com,301,Moved Permanently
baddivers.com,200,OK
baysider.com,301,Moved Permanently
bbc.co.uk,301,Moved Permanently
beachbar-lanzarote.com,200,OK
beachlive.com,301,Moved Permanently
beavercreeklodge.net,301,Moved Permanently
bedandbreakfast.com,301,Moved Permanently
begotrip.com,403,Forbidden
belize.com,301,Moved Permanently
bestholiday.fr,200,OK
bestplaces.net,301,Moved Permanently
bicycletouringpro.com,301,Moved Permanently
bikeworldnews.com,200,OK
blackbookmag.com,301,Moved Permanently
blogman11.com,302,Found
blogspot.com,301,Moved Permanently
boliviabella.com,301,Moved Permanently
bonniercorp.com,301,Moved Permanently
boracaylive.com,200,OK
boston.com,301,http://www.boston.com/
bostonherald.com,301,Found
broadtraveling.com,302,Found
buckleuptravel.com,301,Moved Permanently
budgettravel.com,301,Moved Permanently
cametan.com,301,Moved Permanently
campingearth.com,200,OK
cancuncd.com,301,Moved Permanently
care2.com,302,Moved Temporarily
caribbeantravelmag.com,301,Moved Permanently
carmel.com,301,Moved Permanently
celebrategreece.com,301,Moved Permanently
celebritychef.tv,301,Moved Permanently
centeredpolitics.org,200,OK
chacha.com,301,Moved Permanently
cheapflightnow.com,301,Moved Permanently
chicagotribune.com,301,Moved Permanently
chinalucky8.com,200,OK
cincinnati.com,301,Moved Permanently
clicccar.com,200,OK
climbingnarc.com,200,OK
cnn.com,301,Moved Permanently
coloradonewsday.com,301,Moved Permanently
compareaway.com,500,Internal Server Error
compulsivetraveler.tv,200,OK
cooltraveller.com,302,Found
coolvacationtips.com,200,OK
daclips.in,200,OK
dailymotion.com,301,Moved Permanently
dancewithshadows.com,301,Moved Permanently
denverpost.com,301,Moved Permanently
destinationweddingmag.com,301,Moved Permanently
detroitnews.com,301,Moved Permanently
digg.com,405,Not Allowed
digipublishing.net,200,OK
dinarguru.com,301,Moved Permanently
distance-calculator.co.uk,302,Found
dominica-weekly.com,204,No Content
durbankzncb.co.za,301,Moved Permanently
elsalvadortupais.com,403,Forbidden
environmentalgraffiti.com,301,Moved Permanently
epinions.com,200,OK
escapehere.com,301,http://www.escapehere.com/
ethioscoop.com,301,Moved Permanently
evaser.com,200,OK
examiner.co.uk,301,Moved Permanently
examiner.com,302,Moved Temporarily
excite.it,200,OK
expedia.com,301,Moved Permanently
ezinearticles.com,200,OK
familiesonlinemagazine.com,301,Moved Permanently
farecompare.com,301,Moved Permanently
femdaily.com,200,OK
findingfoodguide.com,500,Internal Server Error
firsttoknow.com,200,OK
flica.net,302,Redirect
flightaware.com,200,OK
flightstats.co.uk,302,Moved Temporarily
flightstats.com,302,Found
flyertalk.com,301,Moved Permanently
flyingmag.com,301,Moved Permanently
flylowcostairlines.org,301,Moved Permanently
fodors.com,301,Moved Permanently
forbes.com,301,Moved Permanently
forgotten-ny.com,200,OK
foxnews.com,301,Moved Permanently
freep.com,301,Moved Permanently
frivmini.com,301,Moved Permanently
frommers.com,301,Moved Permanently
frontier.com,301,Moved Permanently
gadling.com,200,OK
gameonplayer.com,200,OK
gangsiam.com,301,Moved Permanently
gianttraveling.com,302,Found
globalpost.com,301,Moved Permanently
globaltravelbuzz.com,301,Moved Permanently
globaltravelhunter.com,301,Moved Permanently
goodlifereview.com,301,Moved Permanently
gourmetblog.com.au,301,Moved Permanently
gourmettraveller.com.au,301,Moved Permanently
greatabroad.com,302,Found
greyhound.com,302,Found
grist.org,200,OK
guardian.co.uk,301,
haaretz.com,301,Moved Permanently
hamptonroads.com,200,OK
harmoni2u.com,200,OK
hautereport.com,301,Moved Permanently
hbonline.com,200,OK
hellogainesville.com,301,Moved Permanently
highbrowcoffee.com,200,OK
holiday-rentals.co.uk,301,Moved Permanently
holiday-weather.com,301,Moved Permanently
holidaycentral.com,301,Moved Permanently
holidaycheck.com,301,Moved Permanently
homeaway.com,301,Object Moved
homelidays.fr,301,Moved Permanently
homesweettravel.com,302,Moved Temporarily
hongkongpan.com,200,OK
hotelsoup.com,500,Domain Not Found
hottravelnews.net,301,Moved Permanently
howdini.com,301,Moved Permanently
howdinipod.com,301,Moved Permanently
huffingtonpost.com,301,Moved Permanently
ibtimes.com,301,Moved Permanently
idigitaltimes.com,301,Moved Permanently
ihg.com,301,Moved Permanently
innovid.com,400,Bad Request
insidecamping.com,200,OK
insidethetravellab.com,301,Moved Permanently
insuranceandleisure.com,200,OK
interiorcomplex.com,200,OK
ios-hellas.com,200,OK
iplay.com,302,Moved Temporarily
irctcpnr.in,301,Moved Permanently
italiastreaming.com,463,
itechpost.com,301,Moved Permanently
itravelers.com,200,OK
jaowka.com,301,Moved Permanently
japanhai.com,200,OK
jerusalemonline.com,301,Moved Permanently
jimhillmedia.com,200,OK
journeyandsoul.com,200,OK
jukebo.fr,301,Moved Permanently
just2guide.com,302,Found
justin.tv,200,OK
kamp-hotels.de,301,Moved Permanently
knoxvilletennessee.com,200,OK
kompass.de,301,Moved Permanently
korea7s.com,200,OK
koreaportal.com,301,Moved Permanently
la.com,301,Moved Permanently
lafrecciaverde.it,301,Moved Permanently
lapoliciaca.com,200,OK
lasvegas.com,301,Moved Permanently
latimes.com,301,Moved Permanently
latinninsight.com,301,Moved Permanently
latintimes.com,301,Moved Permanently
le-regent.fr,301,Moved Permanently
leisure.com,200,OK
leisurelocator.com,302,Found
letsgogreencamping.com,301,Moved Permanently
liberation.fr,301,Moved Permanently
lifeinitaly.com,301,Moved Permanently
lifestyledestination.com,200,OK
lifestylz.tv,301,Moved Permanently
lightscameraocean.tv,200,OK
lonelyplanet.com,301,Moved Permanently
losangeles.com,301,Moved Permanently
lvol.com,301,Moved Permanently
lvrj.com,301,Moved Permanently
mad.com,200,OK
maitravelsite.com,301,Moved Permanently
mapquest.com,301,Moved Permanently
mapsofworld.com,301,Moved Permanently
marinetraffic.com,301,Moved Permanently
mashable.com,200,OK
matadornetwork.com,200,OK
matchhighlight.com,301,Moved Permanently
meandmytravel.com,200,OK
megabus.com,500,Internal Server Error
menupix.com,301,Moved Permanently
midwestliving.com,301,Moved Permanently
mikesroadtrippod.com,301,Moved Permanently
milwaukee-nightlife.com,200,OK
minute-travel.net,301,Moved Permanently
minyanville.com,200,OK
missadventurespod.com,200,OK
missoulian.com,417,Rate limit exceeded
moderndaytraveler.com,301,Moved Permanently
mommynoire.com,301,Moved Permanently
montella.eu,301,Moved Permanently
mottowesto.com,200,OK
mountaintravelguide.com,200,OK
moviedisney.com,200,OK
movpod.in,200,OK
mrmovietimes.com,301,Moved Permanently
msadventuresinitaly.com,301,Moved Permanently
msnbc.com,301,Moved Permanently
mta.info,301,Moved Permanently
mundo-geo.es,301,Moved Permanently
myfoxdc.com,301,Moved Permanently
myfoxtwincities.com,301,Moved Permanently
mypacifichomeguide.com,301,Moved Permanently
mysanantonio.com,301,Moved Permanently
mysouthernhomeguide.com,301,Moved Permanently
mysouthwesthomeguide.com,301,Moved Permanently
mywesternhomeguide.com,301,Moved Permanently
nationalgeographic.com,302,Moved Temporarily
nbc.com,301,Moved Permanently
nbc10.com,301,Moved Permanently
nbcnews.com,301,Moved Permanently
nbcsports.com,301,Moved Permanently
news.com.au,301,Moved Permanently
newser.com,301,Moved Permanently
newsleader.com,301,Moved Permanently
newslook.com,200,OK
nh.com,301,Moved Permanently
nifty.com,301,Moved Permanently
nola.com,301,Moved Permanently
northjersey.com,301,Moved Permanently
nytimes.com,301,http://www.nytimes.com/
oneindia.in,301,Moved Permanently
oneurope.info,200,OK
onlinetodaynews.com,301,Moved Permanently
oops-paris.com,200,OK
orlandosentinel.com,301,Moved Permanently
osdir.com,403,Forbidden
overseas-life.com,200,OK
ovguide.com,301,Moved Permanently
oztralia.tv,301,Moved Permanently
pasta.com,301,Moved Permanently
perpetualexplorer.com,200,OK
picturatus.com,301,Moved Permanently
placesandlocals.com,301,Moved Permanently
playzwok.com,200,OK
portaldailha.com.br,200,OK
post-gazette.com,301,Moved Permanently
priceline.com,301,Moved Permanently
primetraveling.com,200,OK
promovacances.com,301,Moved Permanently
rainemagazine.com,200,OK
ranker.com,302,Found
rantlifestyle.com,301,Moved Permanently
reiselust-tv.com,301,Moved Permanently
responsibletravel.com,301,Moved Permanently
rgj.com,301,Moved Permanently
routard.com,301,Moved Permanently
routeyou.com,301,Moved Permanently
rovingscholar.com,301,Moved Permanently
rtbapprovals.com,301,Moved Permanently
ryanair.com,301,Moved Permanently
sanfrancisco.com,301,Moved Permanently
sanjose.com,301,Moved Permanently
santacruz.com,301,Moved Permanently
scoop.it,301,Moved Permanently
scribd.com,301,Moved Permanently
seaworldparks.com,302,Found
sfgate.com,301,Moved Permanently
sfstation.com,301,Moved Permanently
shengjini.com,200,OK
singaporeanbiz.com,200,OK
singaporefriendly.com,200,OK
singaporemusicguide.com,200,OK
singaporenewsblog.com,200,OK
snkrbst.com,200,OK
southboundadventures.com,200,OK
spanishdict.com,301,Moved Permanently
starwoodhotels.com,301,Moved Permanently
stltoday.com,301,Moved Permanently
summerretreatcabins.com,301,Moved Permanently
sun-sentinel.com,301,Moved Permanently
surfforsanity.com.au,301,Moved Permanently
syazahajj.com,200,OK
tekbeattvpod.com,301,Moved Permanently
thanaruvy.com,301,Moved Permanently
theaa.com,301,Moved Permanently
theage.com.au,301,Moved Permanently
thebesttrip.net,200,OK
thecultureist.com,301,Moved Permanently
thespnd.com,200,OK
theworldgeography.com,301,Moved Permanently
thomascook.com,302,Found
timeout.com,301,Moved Permanently
tmfouzy.com.sg,302,Moved Temporarily
topix.com,301,Moved Permanently
toptenz.net,301,Moved Permanently
toshiba.com,301,Moved Permanently
touristtools.net,301,Moved Permanently
townandcountrytravelmag.com,301,Moved Permanently
trainenquiry.com,200,OK
travel-videos.com,403,Forbidden
travel24.com,301,Moved Permanently
travelba.se,200,OK
travelchannel.com,301,Moved Permanently
traveldeluxeguide.com,301,Moved Permanently
travelerknow.com,200,OK
travelerstoday.com,301,Moved Permanently
travelfreak.net,301,Moved Permanently
travelguide.tv,200,OK
travelguidecity.com,301,Moved Permanently
travelinfo247.com,200,OK
travelingtales.com,200,OK
travellerscove.com,301,Moved Permanently
travellersdirect.com,301,Moved Permanently
travellerstube.com,301,Moved Permanently
travellingtales.com,200,OK
travelmeredith.com,302,Object moved
travelmoviesguide.com,403,Forbidden
travelnewsandwire.com,302,Found
travelnewspaper.net,301,Moved Permanently
travelocity.com,301,Moved Permanently
travelplanet.in,301,Moved Permanently
travelpod.com,301,Moved Permanently
travelsavvymagazine.com,301,Moved Permanently
travelwell.tv,301,Moved Permanently
travelwelltv.com,301,Moved Permanently
travelwhat.com,301,Moved Permanently
travora.com,301,Moved Permanently
treasurecoast.com,200,OK
trektravel.com,200,OK
trekworld.com,301,Moved Permanently
tripadvisor.com,301,Moved Permanently
tripadvisor.com.my,301,Moved Permanently
tripadvisor.de,301,Moved Permanently
tripadvisor.es,301,Moved Permanently
tripadvisor.fr,301,Moved Permanently
tripadvisor.jp,301,Moved Permanently
tripclips.tv,301,Moved Permanently
tripexplorers.com,403,Forbidden
tripsday.com,200,OK
tripsmarter.com,301,Moved Permanently
triptriangle.com,200,OK
tripwolf.com,301,Moved Permanently
trovareitalia.com,403,Forbidden
tubemogul.com,301,Moved Permanently
tumtiki.com,200,OK
twimovies.com,520,Origin Error
twitch.tv,302,Moved Temporarily
uknetguide.co.uk,301,Moved Permanently
umbrellanews.com,200,OK
usaevent.net,200,OK
usatoday.com,301,Moved Permanently
uslocale.com,200,OK
ustream.tv,301,Moved Permanently
vacationrentals.com,301,Moved Permanently
vacationstarter.com,301,Moved Permanently
vacationvillageresorts.com,301,Moved Permanently
vagabondish.com,301,Moved Permanently
valuewalk.com,301,Moved Permanently
vegasexpose.com,200,OK
venicebeach.com,200,OK
veoh.com,301,Moved Permanently
veranda.com,301,Redirect
viator.com,301,Moved Permanently
virtualtourist.com,301,Moved Permanently
visionsfantastic.com,301,Moved Permanently
visit-chiang-mai-online.com,301,Moved Permanently
visit-ulcinj.com,301,Moved Permanently
vkeong.com,301,Moved Permanently
vrbo.com,301,Moved Permanently
waves4you.de,200,OK
weather.com,301,Moved Permanently
weatherchannel.com,301,Moved Permanently
webcams.travel,301,Moved Permanently
weeklysauce.co.uk,200,OK
weeklysauce.com,200,OK
wego.co.id,301,Moved Permanently
wego.com,301,Moved Permanently
westlocal.ca,200,OK
westwonders.com,200,OK
wheretraveler.com,301,Moved Permanently
wikimapia.org,200,OK
wisetraveling.com,403,Forbidden
wix.com,301,Moved Permanently
woow.com,301,Moved Permanently
wordreference.com,200,OK
worldtravelguide.net,301,Moved Permanently
wunderground.com,301,Moved Permanently
wyndham.com,301,Moved Permanently
yellowmooxie.com,301,Moved Permanently
young-restless.com,301,Moved Permanently
yourblogsource.com,200,OK
youtube.com,301,Moved Permanently
zimbio.com,301,Moved Permanently
zoover.nl,301,Moved Permanently
zulu.org.za,301,Moved Permanently
123greetings.com,301,Moved Permanently
2conv.com,200,OK
7go.com,301,Moved Permanently
a-zplus.com,200,OK
actionscript.org,500,Internal Server Error
addictivetips.com,301,Moved Permanently
adjuggler.com,200,OK
advertdigital.com,200,OK
alleywatch.com,301,Moved Permanently
alltechtips.net,301,Moved Permanently
allthingsd.com,301,Moved Permanently
altervista.org,301,Moved Permanently
anchorfree.com,301,Moved Permanently
android.com,301,Moved Permanently
androidcentral.com,301,Moved Permanently
answers.com,301,Moved Permanently
anythingbutipod.com,200,OK
app-blaster.com,200,OK
apple-scene.com,200,OK
appleinsider.com,200,OK
appleprogs.com,200,OK
applestaple.com,200,OK
appspot.com,302,Found
appsrumors.com,301,Moved Permanently
arstechnica.com,200,OK
askmen.com,301,Moved Permanently
aspfree.com,301,Moved Permanently
awesometechblog.com,302,Found
azplus.com,200,OK
azubu.tv,301,Moved Permanently
babygizmo.com,301,Moved Permanently
baltsun.com,301,Moved Permanently
bestbuy.com,301,Moved Permanently
bestbuys.com,301,Moved Permanently
bestexecutionplus.com,200,OK
bestsciencenews.net,301,Moved Permanently
besttechnologytips.com,301,Moved Permanently
bloggingelite.com,302,Found
bloomberg.com,301,Moved Permanently
blue-box.com.pl,200,OK
blue-box.pl,200,OK
booksnreview.com,301,Moved Permanently
bopmyspace.com,301,Moved Permanently
branovate.com,301,Moved Permanently
brightcove.com,301,Moved Permanently
broadcastnewsroom.com,301,Moved Permanently
businessweek.com,301,Moved Permanently
buzzya.com,416,Requested Range Not Satisfiable
channelinsider.com,301,Moved Permanently
cheatmasters.com,200,OK
cio.com,301,Moved Permanently
cloud-strategy.com,302,Moved Temporarily
cnet.com,301,Moved Permanently
